,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,SBSW,Sibanye Stillwater Limited,3.36B,-4.00%,6136746,8.13B
86,BAK,Braskem S.A.,3.28B,0.48%,916531,18.25B
87,IOSP,Innospec Inc.,3.05B,-1.34%,104383,1.95B
88,CSTM,Constellium SE,2.97B,-2.12%,509120,8.04B
89,SXT,Sensient Technologies Corporation,2.96B,-2.97%,236153,1.46B
90,OR,Osisko Gold Royalties Ltd,2.94B,-1.92%,661545,185.95M
91,MEOH,Methanex Corporation,2.88B,-0.81%,117713,3.72B
92,HCC,"Warrior Met Coal, Inc.",2.81B,-1.52%,1118178,1.68B
93,HL,Hecla Mining Company,2.78B,-2.70%,5844779,720.23M
94,TFPM,Triple Flag Precious Metals Corp.,2.74B,-0.66%,136395,204.02M
95,MTRN,Materion Corporation,2.73B,-1.58%,118101,1.67B
96,SLVM,Sylvamo Corporation,2.55B,-1.78%,381828,3.72B
97,EGO,Eldorado Gold Corporation,2.55B,1.11%,1716916,1.01B
98,TROX,Tronox Holdings plc,2.54B,-0.98%,1653274,2.85B
99,HBM,Hudbay Minerals Inc.,2.40B,-1.46%,2067081,1.69B
100,MTX,Minerals Technologies Inc.,2.35B,-1.39%,119587,2.17B
101,MP,MP Materials Corp.,2.26B,-1.71%,7129304,253.45M
102,TGLS,Tecnoglass Inc.,2.14B,-0.26%,226401,833.27M
103,SCL,Stepan Company,1.96B,-1.73%,75172,2.33B
104,ERO,Ero Copper Corp.,1.88B,-0.11%,400084,427.48M
105,USLM,"United States Lime & Minerals, Inc.",1.67B,0.29%,32194,281.33M
106,EQX,Equinox Gold Corp.,1.64B,-0.79%,4050925,1.09B
107,SGML,Sigma Lithium Corporation,1.63B,-3.06%,634311,129.93M
108,NGVT,Ingevity Corporation,1.61B,-4.54%,170227,1.69B
109,AG,First Majestic Silver Corp.,1.57B,-1.46%,8837021,573.80M
110,HWKN,"Hawkins, Inc.",1.55B,0.57%,234504,924.29M
111,IAG,IAMGOLD Corporation,1.54B,-1.92%,5477252,987.10M
112,SAND,Sandstorm Gold Ltd.,1.45B,0.20%,2877098,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,-0.46%,535449,-
114,KRO,"Kronos Worldwide, Inc.",1.33B,-3.20%,259314,1.67B
115,GPRE,Green Plains Inc.,1.31B,-0.49%,691363,3.30B
116,OEC,Orion Engineered Carbons S.A.,1.29B,-1.19%,329783,1.89B
117,CDE,"Coeur Mining, Inc.",1.28B,-4.23%,5611857,821.21M
118,KALU,Kaiser Aluminum Corporation,1.24B,-0.81%,241166,3.09B
119,CGAU,Centerra Gold Inc.,1.22B,-2.74%,306154,1.09B
120,ORLA,Orla Mining Ltd.,1.17B,-0.54%,408171,227.46M
121,NGD,New Gold Inc.,1.16B,-,8748812,786.50M
122,SA,Seabridge Gold Inc.,1.15B,-2.20%,394698,-
123,KOP,Koppers Holdings Inc.,1.12B,-1.42%,83473,2.15B
124,CENX,Century Aluminum Company,1.09B,1.11%,1154836,2.20B
125,ECVT,Ecovyst Inc.,1.07B,-1.97%,668267,691.12M
126,FSM,Fortuna Silver Mines Inc.,1.05B,-2.03%,4896604,842.43M
127,LOMA,Loma Negra Compañía Industrial Argentina SA,998.52M,-1.30%,215765,822.75M
128,MATV,"Mativ Holdings, Inc.",983.37M,-3.15%,339060,2.03B
129,NEXA,Nexa Resources S.A.,957.53M,0.56%,20673,2.57B
130,MAG,MAG Silver Corp.,953.31M,-1.30%,499655,-
131,SILV,SilverCrest Metals Inc.,952.16M,-2.78%,1693629,245.13M
132,MTUS,Metallus Inc,937.50M,-1.45%,538420,1.36B
