,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,FCNCO,"First Citizens BancShares, Inc.",22.36B,0.13%,9621,17.41B
83,FCNCA,"First Citizens BancShares, Inc.",22.34B,-1.19%,81178,17.41B
84,KB,KB Financial Group Inc.,22.17B,-0.81%,220821,3.19B
85,WRB,W. R. Berkley Corporation,21.87B,-0.30%,1144037,12.14B
86,STT,State Street Corporation,21.74B,-1.36%,2120686,11.95B
87,ERIE,Erie Indemnity Company,21.33B,0.21%,77435,3.27B
88,MKL,Markel Corporation,19.68B,0.33%,47877,15.80B
89,HBAN,Huntington Bancshares Incorporated,19.57B,-2.83%,16270872,6.96B
90,LPLA,LPL Financial Holdings Inc.,19.55B,0.64%,616570,10.05B
91,SHG,"Shinhan Financial Group Co., Ltd.",19.47B,4.43%,176463,7.06B
92,CBOE,"Cboe Global Markets, Inc.",19.12B,-1.19%,844613,3.77B
93,PFG,"Principal Financial Group, Inc.",19.08B,-0.47%,1867820,13.67B
94,CINF,Cincinnati Financial Corporation,18.63B,0.76%,1079595,10.01B
95,NMR,"Nomura Holdings, Inc.",18.34B,-0.16%,2869927,10.09B
96,FDS,FactSet Research Systems Inc.,18.24B,-0.57%,213655,2.12B
97,SYF,Synchrony Financial,17.68B,-0.53%,4381481,7.66B
98,RF,Regions Financial Corporation,17.36B,-2.63%,8689046,7.02B
99,L,Loews Corporation,16.92B,-0.18%,690174,15.90B
100,EG,"Everest Group, Ltd.",16.75B,0.59%,247905,14.59B
101,NTRS,Northern Trust Corporation,16.67B,-1.81%,1563794,6.75B
102,CG,The Carlyle Group Inc.,16.40B,-2.63%,2636165,2.96B
103,BAM,Brookfield Asset Management Inc.,16.40B,-1.98%,962792,4.01B
104,TPG,TPG Inc.,16.33B,-0.87%,629935,2.39B
105,CRBG,"Corebridge Financial, Inc.",15.52B,3.24%,6701321,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.25B,-3.32%,6526961,7.54B
107,BEN,"Franklin Resources, Inc.",14.65B,-2.80%,3650149,7.87B
108,RYAN,"Ryan Specialty Holdings, Inc.",14.27B,0.62%,1411950,2.08B
109,XP,XP Inc.,14.22B,-2.47%,4364968,3.05B
110,FNF,"Fidelity National Financial, Inc.",14.02B,-2.30%,1635631,11.75B
111,BAP,Credicorp Ltd.,13.64B,-0.73%,248546,3.90B
112,KEY,KeyCorp,13.47B,-3.42%,14068108,5.89B
113,MORN,"Morningstar, Inc.",13.14B,0.22%,86059,2.04B
114,ARCC,Ares Capital Corporation,12.61B,-1.53%,4965390,2.61B
115,RNR,RenaissanceRe Holdings Ltd.,12.53B,0.65%,239850,9.13B
116,RGA,"Reinsurance Group of America, Incorporated",12.19B,-0.67%,311192,18.57B
