,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,CENTA,Central Garden & Pet Company,2.72B,-2.43%,262267,3.32B
83,CENT,Central Garden & Pet Company,2.72B,-2.87%,145116,3.32B
84,LRN,"Stride, Inc.",2.69B,-1.08%,1048948,1.94B
85,GO,Grocery Outlet Holding Corp.,2.66B,-0.37%,1237773,3.97B
86,RLX,RLX Technology Inc.,2.61B,-,8416304,183.64M
87,AKO.B,Embotelladora Andina S.A.,2.59B,0.86%,3217,3.12B
88,SPB,"Spectrum Brands Holdings, Inc.",2.52B,-1.84%,475659,2.90B
89,PSMT,"PriceSmart, Inc.",2.52B,-1.47%,101086,4.52B
90,STRA,"Strategic Education, Inc.",2.48B,-2.00%,102213,1.13B
91,TBBB,BBB Foods Inc.,2.44B,-1.18%,392499,1.95B
92,AKO.A,Embotelladora Andina S.A.,2.30B,0.08%,508,3.12B
93,TR,"Tootsie Roll Industries, Inc.",2.27B,-1.77%,90978,769.37M
94,COUR,"Coursera, Inc.",2.26B,-1.90%,1318981,635.76M
95,CCU,Compania Cervecerias Unidas S.A.,2.21B,-0.91%,145546,3.19B
96,LAUR,"Laureate Education, Inc.",2.14B,-0.66%,475367,1.48B
97,DNUT,"Krispy Kreme, Inc.",2.02B,-0.92%,1076467,1.69B
98,GOTU,Gaotu Techedu Inc.,2.01B,-0.64%,3401005,417.60M
99,THS,"TreeHouse Foods, Inc.",2.00B,0.08%,544402,3.43B
100,ATGE,Adtalem Global Education Inc.,1.91B,-2.84%,443772,1.50B
101,MGPI,"MGP Ingredients, Inc.",1.88B,-2.68%,168585,836.52M
102,AFYA,Afya Limited,1.88B,-2.92%,278516,547.10M
103,EPC,Edgewell Personal Care Company,1.84B,-1.65%,345073,2.27B
104,ANDE,"The Andersons, Inc.",1.81B,-2.22%,157272,14.75B
105,UDMY,"Udemy, Inc.",1.78B,-2.58%,858666,728.94M
106,VGR,Vector Group Ltd.,1.76B,-3.13%,1066181,1.42B
107,WMK,"Weis Markets, Inc.",1.72B,-2.04%,95470,4.70B
108,CHEF,"The Chefs' Warehouse, Inc.",1.47B,2.54%,293259,3.43B
109,UTZ,"Utz Brands, Inc.",1.47B,1.41%,1496689,1.44B
