,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,ZM,"Zoom Video Communications, Inc.",21.05B,-1.72%,1883249,4.53B
84,ENTG,"Entegris, Inc.",21.00B,-1.48%,1158034,3.52B
85,APP,AppLovin Corporation,20.92B,0.16%,3839475,3.28B
86,UMC,United Microelectronics Corporation,20.80B,-1.08%,8019302,8.15B
87,IOT,Samsara Inc.,20.72B,-3.88%,3495549,937.39M
88,WDC,Western Digital Corporation,20.36B,-2.69%,3330193,11.26B
89,NOK,Nokia Oyj,20.22B,-0.27%,14179540,24.73B
90,TDY,Teledyne Technologies Incorporated,19.69B,-1.35%,227099,5.64B
91,VRSN,"VeriSign, Inc.",19.29B,-0.31%,588767,1.49B
92,CHKP,Check Point Software Technologies Ltd.,19.28B,0.90%,936783,2.41B
93,ERIC,Telefonaktiebolaget LM Ericsson (publ),19.02B,-0.18%,15968005,26.13B
94,JBL,Jabil Inc.,18.98B,-0.89%,1742628,33.45B
95,STX,Seagate Technology Holdings plc,18.23B,-3.28%,3321380,6.47B
96,OKTA,"Okta, Inc.",17.85B,-1.79%,1526410,2.26B
97,TYL,"Tyler Technologies, Inc.",17.69B,-0.68%,152405,1.95B
98,EPAM,"EPAM Systems, Inc.",17.52B,-0.25%,385790,4.69B
99,LDOS,"Leidos Holdings, Inc.",17.29B,0.08%,745931,15.44B
100,SWKS,"Skyworks Solutions, Inc.",16.84B,-2.10%,2648806,4.64B
101,GDDY,GoDaddy Inc.,16.67B,-0.48%,893726,4.25B
102,AKAM,"Akamai Technologies, Inc.",16.60B,-0.53%,1263219,3.81B
103,FSLR,"First Solar, Inc.",16.50B,-5.47%,2709774,3.32B
104,TER,"Teradyne, Inc.",16.14B,-1.52%,1480059,2.68B
105,ENPH,"Enphase Energy, Inc.",16.04B,-6.57%,4182964,2.29B
106,PSTG,"Pure Storage, Inc.",15.94B,0.38%,2595051,2.83B
107,TRMB,Trimble Inc.,15.56B,-1.58%,1390629,3.80B
108,NTNX,"Nutanix, Inc.",15.55B,-1.41%,2021475,2.02B
109,SSNC,"SS&C Technologies Holdings, Inc.",15.53B,-0.73%,892186,5.50B
110,MANH,"Manhattan Associates, Inc.",15.49B,-0.40%,422495,928.73M
111,NICE,NICE Ltd.,15.26B,-0.03%,235326,2.38B
112,HOOD,"Robinhood Markets, Inc.",15.01B,5.19%,48351592,1.87B
113,LOGI,Logitech International S.A.,14.70B,0.26%,366156,4.25B
114,ZBRA,Zebra Technologies Corporation,14.62B,-0.96%,363320,4.58B
115,BSY,"Bentley Systems, Incorporated",14.46B,0.29%,1039859,1.23B
116,GEN,Gen Digital Inc.,14.09B,-2.40%,3437012,3.79B
117,DT,"Dynatrace, Inc.",13.82B,0.43%,5343193,1.36B
118,TOST,"Toast, Inc.",13.75B,-3.71%,6081886,3.87B
