,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,BATRA,Atlanta Braves Holdings Inc,2.38B,-0.75%,36548,640.67M
84,BATRK,Atlanta Braves Holdings Inc,2.38B,-0.37%,157605,640.67M
85,CMPR,Cimpress plc,2.34B,-2.16%,102338,3.21B
86,WB,Weibo Corporation,2.33B,-1.96%,4816490,1.76B
87,CNK,"Cinemark Holdings, Inc.",2.29B,-0.11%,3696177,3.07B
88,GETY,"Getty Images Holdings, Inc.",2.26B,-8.04%,807284,922.08M
89,LGF.A,Lions Gate Entertainment Corp.,2.15B,-2.44%,637515,3.98B
90,WLY,"John Wiley & Sons, Inc.",2.06B,-1.59%,506140,1.93B
91,BOWL,Bowlero Corp.,2.05B,-2.48%,693895,1.09B
92,CRTO,Criteo S.A.,1.95B,0.97%,299616,1.95B
93,YY,JOYY Inc.,1.94B,-3.16%,1029376,2.30B
94,SSTK,"Shutterstock, Inc.",1.83B,-4.36%,562303,874.59M
95,TDS,"Telephone and Data Systems, Inc.",1.82B,-1.45%,848414,5.16B
96,MSGE,Madison Square Garden Entertainment Corp.,1.81B,-0.18%,888781,894.04M
97,VEON,VEON Ltd.,1.79B,-0.32%,16762,1.72B
98,SPHR,Sphere Entertainment Co.,1.71B,0.77%,587762,229.80M
99,TV,"Grupo Televisa, S.A.B.",1.68B,-1.37%,644629,3.88B
100,LUMN,"Lumen Technologies, Inc.",1.60B,-3.66%,8408513,14.56B
101,MGNI,"Magnite, Inc.",1.59B,-2.17%,894029,619.71M
102,STGW,Stagwell Inc.,1.58B,-1.19%,508799,2.53B
103,IAS,Integral Ad Science Holding Corp.,1.56B,-1.94%,1391961,474.37M
104,OPRA,Opera Limited,1.45B,-4.47%,1562706,396.83M
105,LILAK,Liberty Latin America Ltd.,1.30B,-2.00%,1630057,4.51B
106,MAX,"MediaAlpha, Inc.",1.30B,-0.15%,437801,388.15M
107,ADV,Advantage Solutions Inc.,1.30B,-,650607,4.22B
108,ANGI,Angi Inc.,1.27B,-6.67%,718879,1.36B
109,SEAT,Vivid Seats Inc.,1.25B,-0.67%,1430771,712.88M
110,TBLA,Taboola.com Ltd.,1.24B,-1.86%,1881350,1.44B
111,GENI,Genius Sports Limited,1.22B,-2.82%,2038908,412.98M
112,ATUS,"Altice USA, Inc.",1.19B,-6.09%,1898000,9.24B
113,GOGO,Gogo Inc.,1.16B,-3.22%,694783,397.58M
114,AMC,"AMC Entertainment Holdings, Inc.",1.15B,-2.06%,9365817,4.81B
115,MOMO,Hello Group Inc.,1.13B,-22.29%,13947173,1.68B
116,HUYA,HUYA Inc.,1.12B,-4.24%,1487081,1.03B
117,SCHL,Scholastic Corporation,1.12B,-2.30%,510637,1.64B
118,PERI,Perion Network Ltd.,1.08B,-3.18%,378476,743.16M
119,IDT,IDT Corporation,965.49M,-0.34%,52054,1.20B
120,IHS,IHS Holding Limited,944.35M,5.99%,1019865,2.13B
121,SHEN,Shenandoah Telecommunications Company,901.88M,-2.79%,124588,287.38M
122,IMAX,IMAX Corporation,897.00M,-0.65%,488775,374.84M
123,KIND,"Nextdoor Holdings, Inc.",885.67M,-1.78%,2209566,218.31M
124,FVRR,Fiverr International Ltd.,878.54M,-3.92%,768677,361.38M
125,TTGT,"TechTarget, Inc.",851.26M,-3.71%,112091,229.96M
126,QNST,"QuinStreet, Inc.",849.70M,-0.13%,189368,549.59M
127,SBGI,"Sinclair Broadcast Group, Inc.",834.46M,-1.43%,316694,3.13B
128,DLX,Deluxe Corporation,828.18M,-2.08%,237652,2.19B
129,CCO,"Clear Channel Outdoor Holdings, Inc.",822.32M,-4.12%,2389483,2.13B
130,ASTS,"AST SpaceMobile, Inc.",805.15M,-1.94%,3429882,-
131,THRY,"Thryv Holdings, Inc.",777.65M,-0.73%,147083,916.96M
132,GRPN,"Groupon, Inc.",713.64M,0.44%,1506778,525.35M
133,SMWB,Similarweb Ltd.,706.12M,-2.60%,167212,218.02M
134,DDI,"DoubleDown Interactive Co., Ltd.",694.24M,-1.71%,24223,308.86M
135,EVER,"EverQuote, Inc.",653.79M,-3.04%,392051,287.92M
136,ATEX,Anterix Inc.,639.31M,0.20%,69586,3.54M
137,NN,NextNav Inc.,617.43M,-24.35%,2185446,3.86M
138,GTN,"Gray Television, Inc.",585.54M,-1.35%,3472221,3.28B
139,AMCX,AMC Networks Inc.,535.37M,-3.00%,897732,2.71B
140,GRVY,"Gravity Co., Ltd.",502.37M,-0.74%,38109,558.92M
141,BOC,Boston Omaha Corporation,500.88M,-0.81%,246202,94.18M
142,CNSL,"Consolidated Communications Holdings, Inc.",497.65M,-0.47%,254237,1.11B
143,ATNI,"ATN International, Inc.",495.03M,-3.12%,102660,755.27M
144,RBBN,Ribbon Communications Inc.,493.24M,-1.39%,324514,826.34M
145,RSVR,"Reservoir Media, Inc.",482.93M,-0.40%,34960,140.52M
146,FUBO,fuboTV Inc.,465.73M,-3.73%,7649657,1.37B
147,MCS,The Marcus Corporation,456.17M,-0.28%,304913,729.58M
148,ZH,Zhihu Inc.,453.07M,-2.65%,715215,574.22M
149,GDEV,GDEV Inc.,446.20M,-1.46%,101,-
150,CCG,Cheche Group Inc,421.86M,-2.67%,5925,-
151,NCMI,"National CineMedia, Inc.",394.88M,-,551958,166.10M
152,DRCT,"Direct Digital Holdings, Inc.",382.30M,3.14%,204686,146.84M
153,EEX,"Emerald Holding, Inc.",372.51M,1.03%,25356,382.80M
154,JFIN,Jiayin Group Inc.,371.50M,-0.72%,114197,676.85M
155,SSP,The E.W. Scripps Company,361.32M,-6.57%,881012,2.29B
156,SOHU,Sohu.com Limited,350.53M,-4.62%,70186,600.67M
157,TRUE,"TrueCar, Inc.",343.71M,-11.14%,233222,158.71M
158,CDLX,"Cardlytics, Inc.",337.59M,-4.83%,1067774,309.20M
159,NEXN,Nexxen International Ltd.,335.37M,-1.65%,37166,331.99M
160,ADTH,"AdTheorent Holding Company, Inc.",299.08M,13.07%,955892,170.81M
161,GCI,"Gannett Co., Inc.",295.25M,-2.94%,489499,2.66B
162,MYPS,"PLAYSTUDIOS, Inc.",292.85M,-6.98%,554341,310.89M
163,CTV,Innovid Corp.,275.14M,2.58%,114127,139.88M
164,IHRT,"iHeartMedia, Inc.",267.82M,-1.85%,622085,3.75B
165,WOW,"WideOpenWest, Inc.",267.62M,3.26%,1033702,686.70M
166,DOYU,DouYu International Holdings Limited,247.83M,-3.64%,940539,813.69M
167,SIFY,Sify Technologies Limited,239.51M,-3.70%,105192,421.93M
168,HAO,Haoxi Health Technology Limited,225.71M,-1.52%,11497,28.23M
169,OOMA,"Ooma, Inc.",222.14M,-1.16%,83428,231.56M
170,OB,Outbrain Inc.,190.82M,-1.80%,167052,935.82M
171,TRVG,trivago N.V.,177.68M,0.39%,22663,538.92M
172,TSQ,"Townsquare Media, Inc.",173.79M,-0.29%,52666,459.72M
173,RDCM,RADCOM Ltd.,171.07M,-6.51%,85423,51.60M
174,LVO,"LiveOne, Inc.",165.18M,-2.67%,302130,113.09M
