,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,TDW,Tidewater Inc.,4.51B,-1.12%,859280,1.01B
86,PAGP,"Plains GP Holdings, L.P.",4.03B,-1.37%,1444405,48.71B
87,HP,"Helmerich & Payne, Inc.",3.95B,-0.40%,1164351,2.83B
88,NXE,NexGen Energy Ltd.,3.91B,-,5846634,-
89,VIST,"Vista Energy, SAB de CV",3.79B,-1.06%,796317,1.17B
90,NOG,"Northern Oil and Gas, Inc.",3.78B,0.43%,1007051,2.17B
91,STNG,Scorpio Tankers Inc.,3.78B,0.80%,1527985,1.34B
92,CRC,California Resources Corporation,3.74B,1.89%,1246574,2.80B
93,ERF,Enerplus Corporation,3.68B,0.22%,3549296,1.69B
94,EURN,Euronav NV,3.63B,0.56%,784663,1.63B
95,SDRL,Seadrill Limited,3.48B,1.21%,720938,1.50B
96,CVI,"CVR Energy, Inc.",3.44B,-0.81%,1054828,9.25B
97,LBRT,Liberty Energy Inc.,3.35B,-0.20%,4075314,4.75B
98,CNX,CNX Resources Corporation,3.29B,-0.65%,1995083,3.43B
99,BSM,"Black Stone Minerals, L.P.",3.25B,1.05%,337673,592.22M
100,BTU,Peabody Energy Corporation,3.23B,-1.75%,3474464,4.95B
101,TRMD,TORM plc,3.16B,1.65%,677453,1.52B
102,WHD,"Cactus, Inc.",3.11B,1.39%,545831,1.10B
103,NS,NuStar Energy L.P.,2.97B,-3.35%,695040,1.63B
104,AROC,"Archrock, Inc.",2.92B,-1.32%,1472768,990.34M
105,ARCH,"Arch Resources, Inc.",2.91B,-3.39%,909845,3.15B
106,USAC,"USA Compression Partners, LP",2.82B,-0.80%,332889,846.18M
107,KOS,Kosmos Energy Ltd.,2.74B,4.68%,8759822,1.70B
108,GPOR,Gulfport Energy Corporation,2.73B,2.93%,422598,1.05B
109,BTE,Baytex Energy Corp.,2.71B,1.43%,5725388,2.04B
110,UEC,Uranium Energy Corp.,2.62B,-1.85%,9923061,59.39M
111,INSW,"International Seaways, Inc.",2.57B,1.92%,509108,1.07B
112,ARLP,"Alliance Resource Partners, L.P.",2.48B,2.50%,400907,2.57B
113,GLNG,Golar LNG Limited,2.46B,-0.08%,1422807,267.74M
114,CEIX,CONSOL Energy Inc.,2.39B,0.68%,542413,2.57B
115,TALO,Talos Energy Inc.,2.38B,-1.38%,3592393,1.46B
116,CRK,"Comstock Resources, Inc.",2.31B,-0.97%,4101173,1.57B
117,TGS,Transportadora de Gas del Sur S.A.,2.29B,-0.97%,277543,932.68M
118,CPE,Callon Petroleum Company,2.25B,-0.38%,1089357,2.34B
119,KNTK,Kinetik Holdings Inc.,2.20B,-2.79%,4841904,1.26B
120,AESI,Atlas Energy Solutions Inc.,2.20B,2.76%,1448496,613.96M
121,PARR,"Par Pacific Holdings, Inc.",2.18B,-2.79%,1050998,8.23B
122,OII,"Oceaneering International, Inc.",2.11B,1.29%,879085,2.42B
123,XPRO,Expro Group Holdings N.V.,2.02B,0.71%,602882,1.51B
124,HPK,"HighPeak Energy, Inc.",1.96B,-0.98%,403998,1.11B
125,CRGY,Crescent Energy Company,1.95B,0.74%,969454,2.38B
126,TNK,Teekay Tankers Ltd.,1.87B,2.28%,352153,1.36B
127,VTLE,"Vital Energy, Inc.",1.86B,-0.71%,595034,1.55B
128,DKL,"Delek Logistics Partners, LP",1.85B,-0.15%,94381,1.02B
129,VET,Vermilion Energy Inc.,1.85B,-,1120396,1.51B
130,KGS,"Kodiak Gas Services, Inc.",1.82B,2.17%,537362,850.38M
131,DHT,"DHT Holdings, Inc.",1.74B,3.33%,1459759,560.56M
132,DK,"Delek US Holdings, Inc.",1.74B,1.80%,1169786,16.92B
133,MNR,Mach Natural Resources LP,1.73B,-0.98%,97108,817.06M
134,BORR,Borr Drilling Limited,1.67B,2.87%,1836654,771.60M
135,RES,"RPC, Inc.",1.61B,0.13%,1536439,1.62B
136,DNN,Denison Mines Corp.,1.59B,-,15082372,1.39M
137,KRP,"Kimbell Royalty Partners, LP",1.57B,-0.46%,236115,294.07M
138,GLP,Global Partners LP,1.55B,-2.55%,118184,16.49B
139,DNOW,NOW Inc.,1.54B,-1.90%,1585925,2.32B
140,LPG,Dorian LPG Ltd.,1.52B,-1.32%,532059,552.96M
141,WKC,World Kinect Corporation,1.49B,0.28%,1481708,47.71B
142,HLX,"Helix Energy Solutions Group, Inc.",1.48B,0.41%,1501844,1.29B
143,FLNG,FLEX LNG Ltd.,1.38B,-0.20%,197427,371.02M
144,NEXT,NextDecade Corporation,1.36B,2.51%,1660543,-
145,DO,"Diamond Offshore Drilling, Inc.",1.30B,0.94%,1649530,1.06B
146,GEL,"Genesis Energy, L.P.",1.30B,-5.08%,673586,3.18B
147,DMLP,"Dorchester Minerals, L.P.",1.27B,1.38%,37672,163.80M
148,ACDC,ProFrac Holding Corp.,1.19B,5.70%,1633591,2.93B
149,NRP,Natural Resource Partners L.P.,1.16B,-0.48%,21922,370.01M
150,CLMT,"Calumet Specialty Products Partners, L.P.",1.15B,-3.06%,198785,4.18B
151,NVGS,Navigator Holdings Ltd.,1.10B,0.97%,341285,550.74M
152,WTTR,"Select Energy Services, Inc.",1.05B,2.06%,1768200,1.59B
153,MRC,MRC Global Inc.,1.03B,-0.33%,462380,3.41B
154,UUUU,Energy Fuels Inc.,973.24M,-0.84%,3321686,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",955.79M,-0.57%,966295,1.55B
156,PDS,Precision Drilling Corporation,922.43M,2.30%,68344,1.46B
157,SBR,Sabine Royalty Trust,898.96M,-0.32%,35750,93.01M
158,SBOW,"SilverBow Resources, Inc.",852.12M,4.60%,480743,652.36M
159,CAPL,CrossAmerica Partners LP,839.96M,0.45%,16191,4.39B
160,NBR,Nabors Industries Ltd.,838.75M,3.00%,245175,3.05B
161,PUMP,ProPetro Holding Corp.,820.58M,0.80%,2022175,1.63B
162,DRQ,"Dril-Quip, Inc.",790.49M,2.44%,199988,424.06M
163,NGL,NGL Energy Partners LP,781.84M,1.71%,251835,7.38B
164,EFXT,Enerflex Ltd.,756.92M,0.98%,160112,2.38B
165,CLB,Core Laboratories N.V.,750.36M,-0.12%,355545,509.79M
166,TNP,Tsakos Energy Navigation Limited,733.51M,1.80%,351676,860.40M
167,EU,enCore Energy Corp.,724.54M,-0.51%,1449414,-
