,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,BBWI,"Bath & Body Works, Inc.",10.37B,0.50%,2249548,7.43B
85,PAG,"Penske Automotive Group, Inc.",10.33B,-1.63%,143240,29.53B
86,TXRH,"Texas Roadhouse, Inc.",10.33B,-1.08%,733604,4.63B
87,WING,Wingstop Inc.,10.29B,1.72%,487676,460.06M
88,ALV,"Autoliv, Inc.",10.03B,-0.61%,521471,10.48B
89,SKX,"Skechers U.S.A., Inc.",9.53B,-1.25%,891422,8.00B
90,TPX,"Tempur Sealy International, Inc.",9.52B,-2.31%,1680318,4.93B
91,VIPS,Vipshop Holdings Limited,9.43B,1.05%,3792338,15.92B
92,CCK,"Crown Holdings, Inc.",9.42B,-0.90%,1201610,12.01B
93,XPEV,XPeng Inc.,9.34B,-6.10%,10358657,3.13B
94,LNW,"Light & Wonder, Inc.",9.17B,-1.48%,770555,2.90B
95,CZR,"Caesars Entertainment, Inc.",9.00B,-4.06%,5004698,11.53B
96,BIRK,Birkenstock Holding plc,8.99B,-0.90%,405322,1.68B
97,GPK,Graphic Packaging Holding Company,8.68B,-1.70%,3384091,9.43B
98,MUSA,Murphy USA Inc.,8.63B,-0.39%,129830,21.53B
99,GPS,"The Gap, Inc.",8.53B,0.35%,9479471,14.83B
100,MTN,"Vail Resorts, Inc.",8.41B,-0.31%,554475,2.84B
101,CHDN,Churchill Downs Incorporated,8.37B,1.94%,690294,2.46B
102,GNTX,Gentex Corporation,8.32B,-0.25%,1463144,2.30B
103,NCLH,Norwegian Cruise Line Holdings Ltd.,8.23B,-2.72%,7381758,8.55B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,SN,"SharkNinja, Inc.",8.13B,-1.37%,1041419,4.25B
106,ETSY,"Etsy, Inc.",8.04B,-3.35%,4061621,2.75B
107,LEA,Lear Corporation,7.99B,-2.45%,690483,23.47B
108,LAD,"Lithia Motors, Inc.",7.96B,-2.34%,243459,31.04B
109,PVH,PVH Corp.,7.87B,-0.55%,1095473,9.22B
110,CROX,"Crocs, Inc.",7.82B,-2.58%,875227,3.96B
111,CHWY,"Chewy, Inc.",7.76B,-4.17%,7794206,11.01B
112,MHK,"Mohawk Industries, Inc.",7.74B,-3.79%,731524,11.14B
113,W,Wayfair Inc.,7.53B,-2.86%,2612102,12.00B
114,LEVI,Levi Strauss & Co.,7.47B,-2.45%,1085310,6.18B
115,BWA,BorgWarner Inc.,7.46B,-1.36%,3138545,14.20B
116,HAS,"Hasbro, Inc.",7.36B,-0.13%,1626222,5.00B
117,BROS,Dutch Bros Inc.,7.28B,-1.72%,2358770,965.78M
118,CAVA,"CAVA Group, Inc.",7.26B,-2.66%,2743049,728.70M
119,DDS,"Dillard's, Inc.",7.18B,-0.99%,120189,6.87B
120,BERY,"Berry Global Group, Inc.",6.95B,-1.69%,1043057,12.46B
121,MMYT,MakeMyTrip Limited,6.92B,0.50%,715219,728.16M
122,MAT,"Mattel, Inc.",6.81B,-4.60%,4723924,5.44B
123,ALSN,"Allison Transmission Holdings, Inc.",6.76B,-0.75%,462218,3.04B
124,HRB,"H&R Block, Inc.",6.65B,-2.20%,1035458,3.49B
125,BFAM,Bright Horizons Family Solutions Inc.,6.63B,-2.76%,281168,2.42B
126,CART,Maplebear Inc.,6.47B,1.10%,3501751,3.04B
127,ANF,Abercrombie & Fitch Co.,6.44B,-0.48%,1511056,4.28B
128,LCID,"Lucid Group, Inc.",6.43B,-6.07%,34615198,595.27M
129,AN,"AutoNation, Inc.",6.42B,0.81%,863419,26.95B
130,WH,"Wyndham Hotels & Resorts, Inc.",6.37B,-0.08%,691806,1.40B
131,CHH,"Choice Hotels International, Inc.",6.29B,0.83%,813024,1.54B
132,REYN,Reynolds Consumer Products Inc.,6.13B,-2.26%,652752,3.76B
133,MNSO,MINISO Group Holding Limited,6.09B,-0.20%,2344575,1.95B
134,BC,Brunswick Corporation,6.09B,-4.72%,726429,6.40B
135,TMHC,Taylor Morrison Home Corporation,6.04B,-4.01%,778255,7.42B
136,VFC,V.F. Corporation,6.03B,-5.81%,10683719,10.82B
137,BYD,Boyd Gaming Corporation,5.94B,-1.47%,786834,3.74B
138,GIL,Gildan Activewear Inc.,5.84B,-1.88%,418452,3.20B
139,WHR,Whirlpool Corporation,5.76B,-2.77%,1072454,19.46B
140,M,"Macy's, Inc.",5.74B,3.48%,9796149,23.87B
141,RRR,"Red Rock Resorts, Inc.",5.72B,-2.30%,225451,1.72B
142,SON,Sonoco Products Company,5.67B,-1.58%,444111,6.78B
143,GLBE,Global-e Online Ltd.,5.65B,-4.39%,1728044,569.95M
144,MTH,Meritage Homes Corporation,5.59B,-3.76%,537720,6.14B
145,RH,RH,5.52B,-3.65%,492459,3.06B
146,HOG,"Harley-Davidson, Inc.",5.46B,1.33%,2049727,5.84B
147,CPRI,Capri Holdings Limited,5.44B,0.49%,518617,5.28B
148,THO,"Thor Industries, Inc.",5.38B,-1.75%,678772,10.38B
149,PLNT,"Planet Fitness, Inc.",5.36B,-2.90%,1464061,1.07B
150,SEE,Sealed Air Corporation,5.31B,-2.18%,992783,5.49B
